owner_id,owner_age_group,owner_gender,district,neighborhood_code,breed_primary,breed_primary_is_mixed,breed_secondary,breed_secondary_is_mixed,breed_type,dog_birth_year,dog_gender,dog_color
80945,71-80,female,7,72,Jack Russel Terrier,False,,False,small/companion,2003.0,female,tricolor
80950,71-80,female,7,73,Rhodesian Ridgeback,False,,False,large/working,2019.0,female,red-wheaten
80957,51-60,female,7,74,Giant Schnauzer,False,,False,large/working,2012.0,female,black
80959,51-60,female,8,82,Spinone,False,,False,large/working,2016.0,female,brown roan
80960,71-80,female,7,72,Pug,False,,False,small/companion,2007.0,male,black
80978,61-70,female,9,92,Mixed breed (small),False,,False,small/companion,2012.0,male,tricolor
80982,61-70,female,10,101,Dachshund,False,,False,small/companion,2013.0,female,brindle
80994,51-60,female,10,101,Labrador Retriever,False,,False,large/working,2018.0,male,brown
80999,61-70,female,10,101,West Highland White Terrier,False,,False,small/companion,2012.0,female,white
81001,71-80,male,10,101,Boxer,False,,False,large/working,2017.0,female,brindle
81004,61-70,female,9,92,Scottish Terrier,False,,False,small/companion,2006.0,male,brindle
81004,61-70,female,9,92,Scottish Terrier,False,,False,small/companion,2013.0,male,black
81004,61-70,female,9,92,Mixed breed (small),False,,False,small/companion,2015.0,male,beige/black
81004,61-70,female,9,92,Mixed breed (small),False,,False,small/companion,2016.0,female,beige/red
81018,81-90,female,10,101,Tervueren,False,,False,large/working,2005.0,female,brown
81042,41-50,female,2,21,Mixed breed (small),False,,False,small/companion,2008.0,female,tricolor
81042,41-50,female,2,21,Fox Terrier,True,,False,small/companion,2011.0,male,brown/white
81045,71-80,female,6,63,Miniature Wire-haired Dachshund,False,,False,small/companion,2009.0,female,wild boar colored
81050,61-70,female,5,52,Labrador Retriever,False,,False,large/working,2009.0,male,black
81050,61-70,female,5,52,Labrador Retriever,False,,False,large/working,2005.0,male,black
81054,51-60,female,1,11,Pug,False,,False,small/companion,2011.0,male,black
81064,71-80,female,8,83,Labrador Retriever,False,,False,large/working,2009.0,female,brown
81072,51-60,female,7,71,Mixed breed (small),False,,False,small/companion,2008.0,female,brown/white
81091,71-80,female,7,71,Labrador Retriever,False,,False,large/working,2017.0,male,black
81097,71-80,female,7,72,Golden Retriever,False,,False,large/working,2015.0,male,white
81097,71-80,female,7,72,Golden Retriever,False,,False,large/working,2013.0,female,golden
81107,81-90,female,7,74,German Shepherd,False,,False,large/working,2011.0,male,black/yellow
81108,61-70,female,1,11,Phalène,False,,False,small/companion,2016.0,female,tricolor
81112,81-90,male,7,74,Australian Shepherd,True,,False,large/working,2009.0,male,blue/merle
81116,51-60,female,7,74,French Bulldog,False,Pug,False,small/companion,2014.0,female,beige/black
81132,31-40,male,7,73,Mixed breed (small),False,,False,small/companion,2010.0,female,black/brown
81134,81-90,male,7,74,Medium Spitz,False,,False,small/companion,2009.0,female,black/white
81139,81-90,female,7,74,Pug,False,,False,small/companion,2015.0,male,beige
81152,51-60,female,4,41,Mixed breed (large),False,,False,large/working,2018.0,male,black
81153,51-60,female,8,83,Airedale Terrier,False,,False,large/working,2013.0,female,black/tan
81159,71-80,male,9,92,Airedale Terrier,False,,False,large/working,2015.0,female,black/tan
81172,61-70,female,11,111,Collie,False,,False,large/working,2009.0,male,tricolor
81172,61-70,female,11,111,Collie,False,,False,large/working,2017.0,male,sable
81183,51-60,male,9,92,German Shepherd,False,,False,large/working,2011.0,female,black/yellow
81183,51-60,male,9,92,Yorkshire Terrier,False,,False,small/companion,2013.0,male,steelblue/tan
81188,51-60,male,10,101,Jack Russel Terrier,False,,False,small/companion,2011.0,female,brown/white
81200,81-90,male,10,101,Toy Poodle,False,,False,small/companion,2002.0,female,black
81212,61-70,female,9,92,Labrador Retriever,False,,False,large/working,2018.0,female,black
81218,81-90,female,9,91,Cairn Terrier,False,,False,small/companion,2012.0,male,red/brown
81245,71-80,female,8,81,Chihuahua,False,,False,small/companion,2009.0,female,red
81245,71-80,female,8,81,Mixed breed (small),False,,False,small/companion,2014.0,female,black
81248,71-80,male,10,101,German Shepherd,False,,False,large/working,2012.0,male,brown/black
81281,61-70,male,3,33,Labrador Retriever,False,,False,large/working,2003.0,male,black
81293,81-90,female,10,101,Cocker Spaniel,False,,False,small/companion,2010.0,female,brown/white
81309,71-80,female,10,102,Yorkshire Terrier,True,,False,small/companion,2006.0,female,black/brown
81316,71-80,female,11,119,Biewer Yorkshire Terrier,False,,False,small/companion,2014.0,male,tricolor
81322,81-90,female,6,63,Galgo Espanol,False,,False,large/working,2008.0,female,brindle
81323,81-90,male,6,63,Alpine Dachsbracke,False,,False,small/companion,2007.0,male,fawn red
81325,71-80,female,12,122,Sheltie,False,,False,small/companion,2008.0,female,blue/merle
81336,51-60,female,6,63,Maltese,False,,False,small/companion,2010.0,female,white
81346,71-80,female,7,71,Terrier (generic),True,,False,small/companion,2005.0,female,tricolor
81348,71-80,female,7,71,Mixed breed (large),False,,False,large/working,2015.0,female,brown
81352,71-80,female,7,71,Italian Greyhound (generic),False,,False,large/working,2011.0,male,steelblue
81352,71-80,female,7,71,Italian Greyhound,False,,False,small/companion,2011.0,female,black/white
81353,81-90,female,6,63,Rottweiler,True,,False,large/working,2008.0,male,black/brown
81357,51-60,female,2,21,Medium Poodle,False,,False,small/companion,2016.0,female,black
81364,51-60,female,2,23,Dachshund,False,,False,small/companion,2008.0,female,black/red
81366,61-70,female,10,101,Greyhound,False,,False,large/working,2014.0,female,black
81381,51-60,male,8,81,Mixed breed (small),False,,False,small/companion,2016.0,female,gray
81387,51-60,female,8,82,Mixed breed (large),False,,False,large/working,2014.0,female,black/brown
81391,81-90,female,7,71,Lagotto Romagnolo,False,,False,large/working,2012.0,female,brown
81392,51-60,female,9,91,Chow Chow,False,Labrador Retriever,False,large/working,2017.0,female,black
81397,51-60,female,8,83,Bearded Collie,False,,False,large/working,2015.0,male,brown/white
81399,81-90,female,12,122,Yorkshire Terrier,False,,False,small/companion,2016.0,female,black/tan
81403,71-80,female,6,63,Border Collie,False,,False,large/working,2009.0,female,tricolor
81407,71-80,male,6,63,Border Collie,False,,False,large/working,2006.0,female,black
81424,81-90,female,7,74,Jack Russel Terrier,True,,False,small/companion,2007.0,female,black/brown
81430,71-80,female,10,102,Bolonka Zwetna,False,,False,small/companion,2012.0,female,black/tan
